ID No.,Start Date,Start Date - Month,Start Date - Day,Start Date - Year,End Date,End Date - Month,End Date - Day,End Date - Year,Exhibition Type,Title,Gallery Site,Gallery Terminal,Gallery Area,Gallery Level,Gallery Name
1474,09/22/2017,9,22,2017,03/08/2019,3,8,2019,Aviation,Aviation Evolutions: The Jim Lund 1:72 Scale Model Airplane Collection,K02,IT,A,D,AML Aviation Museum Gallery 02
364,01/16/1995,1,16,1995,03/15/1995,3,15,1995,Student Art,Children s Art: San Francisco Symphony Education Program,F01,T3,F,D,F-01 Gate 68 Children’s Art Gallery
1265,10/01/2013,10,1,2013,11/29/2012,11,29,2012,Student Art,Children’s Art: San Francisco University High School,C05,T1,C,A,C-05 Terminal One Lower Gallery
367,06/01/1995,6,1,1995,07/15/1995,7,15,1995,Student Art,Children s Art: Pacific Primary,F01,T3,F,D,F-01 Gate 68 Children’s Art Gallery
973,10/01/2008,10,1,2008,11/30/2008,11,30,2008,Student Art,Children s Art: Peralta Elementary School,C05,T1,C,A,C-05 Terminal One Lower Gallery
355,11/16/1993,11,16,1993,02/27/1994,2,27,1994,Student Art,Children s Art: Fruitvale Elementary School,F01,T3,F,D,F-01 Gate 68 Children’s Art Gallery
371,12/01/1995,12,1,1995,01/15/1996,1,15,1996,Student Art,Children s Art: French American School,F01,T3,F,D,F-01 Gate 68 Children’s Art Gallery
896,05/20/2006,5,20,2006,08/31/2006,8,31,2006,Aviation,Aviation Posters: Far Out Destinations,K04A,IT,A,D,AML Aviation Museum Gallery 04a
1419,08/18/2017,8,18,2017,04/02/2018,4,2,2018,General,Empowering Threads: Textiles of Jolom Mayaetik,G01,IT,G,D,G-01 International North Wall
419,11/01/1996,11,1,1996,11/20/1997,11,20,1997,Photography,Toys in Situ,F03,T3,F,D,F-03 Gate 76
1530,09/28/2017,9,28,2017,01/11/2018,1,11,2018,Photography,Jamey Stillings,E05,T3,E,D,E-05 E Plaza Meet and Greet
959,02/04/2008,2,4,2008,03/28/2008,3,28,2008,Student Art,Children s Art: Starr King Elementry School,C05,T1,C,A,C-05 Terminal One Lower Gallery
1172,06/01/2012,6,1,2012,08/31/2012,8,31,2012,Photography,J Henry Fair: Abstractions of Destruction,D01,T2,D,D,D-01 Central North Connector
1591,03/09/2018,3,9,2018,11/26/2018,11,26,2018,General,On the Radio,F02,T3,F,D,F-02 North Connector
974,12/01/2008,12,1,2008,01/30/2009,1,30,2009,Student Art,SOTA,A05,T1,A,A,A-05 Terminal One Lower Gallery
1628,04/26/2018,4,26,2018,07/26/2018,7,26,2018,Student Art,Student Art: Gunn High School,F12,T3,F,A,F-12 Student Art
1004,02/06/2009,2,6,2009,04/27/2009,4,27,2009,Photography,Mathew Tekulsky: Portraits,D01,T2,D,D,D-01 Central North Connector
959,02/04/2008,2,4,2008,03/28/2008,3,28,2008,Student Art,Children s Art: Starr King Elementry School,A05,T1,A,A,A-05 Terminal One Lower Gallery
556,03/01/1989,3,1,1989,05/15/1989,5,15,1989,Photography,John Gutmann Photographs,F03,T3,F,D,F-03 Gate 76
548,10/03/1989,10,3,1989,11/20/1989,11,20,1989,Student Art,Children s Art: FAMSF Education Program,F08,T3,F,D,F-08 Gate 81
520,01/01/1989,1,1,1989,02/25/1989,2,25,1989,Photography,At Work,F03,T3,F,D,F-03 Gate 76
953,10/09/2007,10,9,2007,12/15/2007,12,15,2007,Student Art,Children s Art: Images Speak Words,C05,T1,C,A,C-05 Terminal One Lower Gallery
1101,06/06/2011,6,6,2011,08/29/2011,8,29,2011,Photography,"Clownfish, Tangs and Wrasse",F03,T3,F,D,F-03 Gate 76
1548,09/07/2017,9,7,2017,10/11/2017,10,11,2017,Video Art,Waste Generation,G03,IT,G,D,G-03 Video Arts Gallery
1200,01/04/2012,1,4,2012,06/29/2012,6,29,2012,Aviation,"Pan American Airways Poster, Special Collections",K04B,IT,A,D,AML Aviation Museum Gallery 04b Special Collections Room
184,03/21/2003,3,21,2003,01/15/2004,1,15,2004,Aviation,Flight of the Crane: Japan Air Lines Travel Posters,K04A,IT,A,D,AML Aviation Museum Gallery 04a
870,12/13/2005,12,13,2005,03/21/2005,3,21,2005,Photography,Sub:Urban-Photographs by Bruce Damonte,B03,T1,B,D,B-03 Gate 36
1578,04/19/2018,4,19,2018,05/16/2018,5,16,2018,Video Art,Follow Your Fears,G03,IT,G,D,G-03 Video Arts Gallery
814,12/01/2004,12,1,2004,01/30/2005,1,30,2005,Student Art,Children s Art: Celebrate with Me San Francisco,C05,T1,C,A,C-05 Terminal One Lower Gallery
1484,02/22/2017,2,22,2017,05/17/2017,5,17,2017,Photography,Jeff Devine: 1970s Surf Photography,F11,T3,F,D,F-11 Photographs
1146,02/01/2012,2,1,2012,04/30/2012,4,30,2012,Photography,Heather Meader-McCausland: Arctic Winter,B03,T1,B,D,B-03 Gate 36
143,02/01/2000,2,1,2000,07/07/2000,7,7,2000,Student Art,Children s Art: Children s Aviation Art,F02,T3,F,D,F-02 North Connector
760,10/01/2005,10,1,2005,01/05/2006,1,5,2006,Photography,Moments of Serenity,F03,T3,F,D,F-03 Gate 76
620,05/15/2002,5,15,2002,08/07/2002,8,7,2002,Photography,Designed in Blue: San Francisco Historic Police Uniforms,F03,T3,F,D,F-03 Gate 76
1410,08/03/2015,8,3,2015,09/30/2015,9,30,2015,Student Art,Student Art: ArtSpan,A05,T1,A,A,A-05 Terminal One Lower Gallery
1474,09/15/2017,9,15,2017,03/15/2019,3,15,2019,Aviation,Aviation Evolutions: The Jim Lund 1:72 Scale Model Airplane Collection,K01,IT,A,D,AML Aviation Museum Gallery 01
867,03/22/2006,3,22,2006,07/17/2006,7,17,2006,Photography,Sculpted Gardens: Rice Fields of Southeast Asia,B03,T1,B,D,B-03 Gate 36
651,10/21/2002,10,21,2002,12/30/2002,12,30,2002,Student Art,Children s Art: Desserts,C05,T1,C,A,C-05 Terminal One Lower Gallery
1332,08/22/2014,8,22,2014,06/08/2015,6,8,2015,Aviation,"The Legend of CNAC: China National Aviation Corporation, 1929-1949",K02,IT,A,D,AML Aviation Museum Gallery 02
553,06/25/1990,6,25,1990,08/06/1990,8,6,1990,Student Art,Children s Art: San Francisco School District Children s Festival,F08,T3,F,D,F-08 Gate 81
592,06/01/1992,6,1,1992,06/30/1992,6,30,1992,Photography,Radio Scenes,F03,T3,F,D,F-03 Gate 76
625,02/25/2003,2,25,2003,06/30/2003,6,30,2003,Photography,Six Degrees of Fabrication II,B03,T1,B,D,B-03 Gate 36
1403,11/17/2017,11,17,2017,07/09/2018,7,9,2018,General,American Folk Art: An Enduring Legacy,A02,IT,A,D,A-02 International South Cases
171,08/07/2001,8,7,2001,11/12/2001,11,12,2001,Photography,Setting Sail,B03,T1,B,D,B-03 Gate 36
377,08/08/1996,8,8,1996,09/19/1996,9,19,1996,Student Art,Children s Art: The Potrero Hill Neighborhood House,F01,T3,F,D,F-01 Gate 68 Children’s Art Gallery
545,05/28/1989,5,28,1989,07/10/1989,7,10,1989,Student Art,World Children s Art Exhibition: Friends on Our Borders,F07,T3,F,D,F-07 Gate 74
514,07/01/1988,7,1,1988,12/31/1988,12,31,1988,Student Art,Children s Art: French-American International School,F07,T3,F,D,F-07 Gate 74
390,10/05/1990,10,5,1990,12/01/1990,12,1,1990,Photography,Horses: Photographs by Ann Dowie,F03,T3,F,D,F-03 Gate 76
742,05/04/1994,5,4,1994,06/27/1994,6,27,1994,General,Mani: Photographs by Mary Swisher,G03,T2,D,D,D-03 Central Concourse
897,12/01/2006,12,1,2006,02/01/2007,2,1,2007,Student Art,Children s Art: Alice Fong Yu,C05,T1,C,A,C-05 Terminal One Lower Gallery
918,04/06/2007,4,6,2007,06/05/2007,6,5,2007,Student Art,"Children s Art: Materials, Techniques, and Media: The Jewish Community Center of San Francisco",A05,T1,A,A,A-05 Terminal One Lower Gallery
372,01/15/1996,1,15,1996,02/21/1996,2,21,1996,Student Art,Children s Art: Town School for Boys,F01,T3,F,D,F-01 Gate 68 Children’s Art Gallery
1405,06/01/2015,6,1,2015,08/31/2015,8,31,2015,Photography,On Approach: Landscapes/Salt Ponds by Cris Benton,D01,T2,D,D,D-01 Central North Connector
1084,08/03/2009,8,3,2009,01/29/2010,1,29,2010,Photography,The Evolution of Eyewear,D01,T2,D,D,D-01 Central North Connector
1142,04/04/2011,4,4,2011,05/30/2011,5,30,2011,Student Art,Children’s Art: Sequoia Preschool,A05,T1,A,A,A-05 Terminal One Lower Gallery
1326,03/02/2015,3,2,2015,05/29/2015,5,29,2015,Photography,Nature’s Mysteries: Landscape Photography by Wynn Bullock,D01,T2,D,D,D-01 Central North Connector
1024,05/03/2010,5,3,2010,07/30/2010,7,30,2010,Photography,Monica Denevan: Burma,B03,T1,B,D,B-03 Gate 36
597,03/01/1992,3,1,1992,04/01/1992,4,1,1992,General,Destination: Russia,G03,T2,D,D,D-03 Central Concourse
929,12/10/2007,12,10,2007,03/20/2008,3,20,2008,Photography,Bob Apte: Modes of Ritual from Papua New Guinea,D01,T2,D,D,D-01 Central North Connector
645,07/20/2006,7,20,2006,11/20/2006,11,20,2006,Photography,Centres of the World/Enjoy Yourself 1999-2002,F03,T3,F,D,F-03 Gate 76
1352,02/12/2016,2,12,2016,08/15/2016,8,15,2016,General,The Allure of Art Nouveau:1890-1914,G02,IT,G,D,G-02 International North Cases
1179,09/03/2012,9,3,2012,11/30/2012,11,30,2012,Photography,Arthur Drooker: Lost Worlds,D01,T2,D,D,D-01 Central North Connector
261,03/01/1994,3,1,1994,03/30/1994,3,30,1994,General,Australian Outback,G03,T2,D,D,D-03 Central Concourse
220,04/01/1996,4,1,1996,05/15/1996,5,15,1996,General,Mothers and Sons: Faces in the News,B02,T1,B,D,B-02 Gate 26
